Trial,PersonaType,PersonaDesc,Age,Gender,DialogueFile,PersonaSwitch,HasName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
18,EACNO,万能リーダー (ENFJ),40-49,Male,ItoE_noname.txt,なし,なし,6,4,1,0,3,4,2,1,1,5,0,1,6,1,4,1,3,0,2
19,EACNO,万能リーダー (ENFJ),80-89,Female,ItoI_name.txt,あり,あり,6,4,1,0,4,2,4,1,2,4,0,2,8,1,6,2,3,0,4
20,EACNO,万能リーダー (ENFJ),70-79,Female,ItoI_noname.txt,あり,なし,4,3,2,1,5,4,3,2,2,4,1,3,6,3,5,3,4,1,2
21,EACNO,万能リーダー (ENFJ),80-89,Female,ItoE_noname.txt,なし,なし,6,5,2,1,4,3,5,2,2,4,1,2,6,2,5,3,4,1,5
22,EACNO,万能リーダー (ENFJ),30-39,Male,ItoI_noname.txt,あり,なし,3,2,1,0,3,2,3,0,1,4,0,1,3,1,3,1,2,0,2
23,EACNO,万能リーダー (ENFJ),20-29,Male,ItoE_noname.txt,なし,なし,5,3,1,1,6,2,4,1,2,5,1,1,6,1,4,3,4,1,3
24,EACNO,万能リーダー (ENFJ),80-89,Female,ItoI_noname.txt,あり,なし,7,4,1,1,6,3,4,1,2,5,1,1,6,2,5,2,4,1,4
25,EACNO,万能リーダー (ENFJ),30-39,Male,ItoI_noname.txt,あり,なし,7,5,2,1,4,5,4,2,3,6,1,2,8,2,4,2,6,1,4
26,EACNO,万能リーダー (ENFJ),20-29,Male,ItoE_name.txt,なし,あり,4,3,1,1,4,2,5,1,2,3,1,2,5,1,5,2,4,1,3
27,EACNO,万能リーダー (ENFJ),60-69,Female,ItoI_name.txt,あり,あり,6,4,2,1,3,3,5,1,2,6,1,2,5,1,5,2,4,1,3
28,EACNO,万能リーダー (ENFJ),40-49,Male,ItoE_name.txt,なし,あり,5,4,2,1,4,4,5,1,2,3,0,2,3,1,4,2,5,0,3
29,IHRTO,孤独な芸術家 (INTP),70-79,Female,ItoI_name.txt,あり,あり,3,1,1,0,2,1,2,0,1,3,0,1,2,1,2,1,2,0,1
30,IHRTO,孤独な芸術家 (INTP),50-59,Female,ItoE_name.txt,なし,あり,4,2,1,0,2,3,5,1,2,4,0,1,2,1,3,1,2,0,2
31,IHRTO,孤独な芸術家 (INTP),20-29,Male,ItoI_name.txt,あり,あり,3,2,1,0,2,2,3,0,1,3,0,1,1,1,3,1,2,0,1
32,IHRTO,孤独な芸術家 (INTP),50-59,Female,ItoE_noname.txt,なし,なし,3,2,1,0,2,1,2,0,1,3,0,0,1,1,2,1,1,0,0
33,IHRTO,孤独な芸術家 (INTP),20-29,Male,ItoI_name.txt,あり,あり,2,1,1,0,1,1,2,0,1,2,0,0,2,0,2,0,1,0,1
34,IHRTO,孤独な芸術家 (INTP),20-29,Male,ItoE_noname.txt,なし,なし,2,2,1,0,1,3,2,0,2,6,0,1,2,0,2,1,3,0,1
35,IHRTO,孤独な芸術家 (INTP),50-59,Female,ItoE_name.txt,なし,あり,3,2,1,0,2,2,3,0,1,2,0,1,2,0,2,1,2,0,1
36,EACNS,堅実な調整役 (ESFJ),60-69,Female,ItoI_name.txt,あり,あり,4,3,1,0,3,2,2,0,1,3,0,1,4,1,3,1,2,0,2
37,EACNS,堅実な調整役 (ESFJ),80-89,Female,ItoE_noname.txt,なし,なし,6,4,1,0,3,2,4,1,1,3,0,1,6,1,4,2,3,0,3
38,EACNS,堅実な調整役 (ESFJ),50-59,Male,ItoI_noname.txt,あり,なし,4,3,1,0,3,3,4,1,1,2,0,1,4,1,3,1,3,0,2
39,EACNS,堅実な調整役 (ESFJ),40-49,Male,ItoE_noname.txt,なし,なし,4,3,1,0,2,2,2,0,1,2,0,0,4,1,3,1,2,0,2
40,EACNS,堅実な調整役 (ESFJ),80-89,Female,ItoI_name.txt,あり,あり,3,2,1,1,2,2,4,1,1,3,1,1,3,1,3,1,2,1,2
41,EACNS,堅実な調整役 (ESFJ),40-49,Male,ItoI_noname.txt,あり,なし,4,3,1,0,2,3,2,0,1,2,0,1,4,1,3,1,3,0,2
42,IHRNS,寡黙な観察者 (ISTP),20-29,Male,ItoE_noname.txt,なし,なし,2,1,1,0,1,1,2,0,1,1,0,1,2,1,3,1,1,0,1
43,IHRNS,寡黙な観察者 (ISTP),80-89,Female,ItoI_name.txt,あり,あり,2,1,0,0,1,1,2,0,1,3,0,0,2,0,2,0,1,0,1
44,IHRNS,寡黙な観察者 (ISTP),70-79,Female,ItoE_name.txt,なし,あり,1,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0,0
45,IHRNS,寡黙な観察者 (ISTP),80-89,Female,ItoI_noname.txt,あり,なし,3,1,0,0,1,1,1,0,0,1,0,0,1,0,2,0,1,0,0
46,IHRNS,寡黙な観察者 (ISTP),70-79,Female,ItoI_name.txt,あり,あり,2,1,0,0,1,1,2,0,0,1,0,0,2,0,1,0,1,0,1
47,EHRTS,豪快な実践者 (ESTP),30-39,Male,ItoE_name.txt,なし,あり,3,2,1,0,1,1,3,0,1,1,0,0,2,0,1,0,2,0,1
48,EHRTS,豪快な実践者 (ESTP),60-69,Female,ItoI_name.txt,あり,あり,2,1,0,0,1,1,3,0,0,2,0,0,2,0,2,0,1,0,1
49,EHRTS,豪快な実践者 (ESTP),20-29,Male,ItoI_name.txt,あり,あり,2,2,1,0,1,2,2,0,1,4,0,0,2,1,3,0,2,0,1
50,EHRTS,豪快な実践者 (ESTP),40-49,Male,ItoE_name.txt,なし,あり,3,2,0,0,1,1,3,0,1,2,0,0,1,1,2,0,2,0,1
51,IACNO,思慮深い賢者 (INFJ),40-49,Male,ItoE_name.txt,なし,あり,6,4,2,1,4,4,7,2,3,5,1,2,6,2,5,3,6,1,4
52,IACNO,思慮深い賢者 (INFJ),40-49,Male,ItoI_noname.txt,あり,なし,3,2,1,1,3,3,3,1,2,4,1,1,3,1,3,1,3,1,1
53,IACNO,思慮深い賢者 (INFJ),40-49,Male,ItoI_name.txt,あり,あり,3,2,1,1,4,3,2,1,2,3,1,1,4,1,3,2,3,1,3
54,IACNO,思慮深い賢者 (INFJ),20-29,Male,ItoE_name.txt,なし,あり,4,3,2,1,3,3,4,1,2,4,1,1,3,2,4,2,2,1,2
55,IHRNO,独立型思想家 (INTP),80-89,Female,ItoI_noname.txt,あり,なし,3,2,1,0,1,1,2,0,1,2,0,0,2,0,2,0,1,0,1
56,IHRNO,独立型思想家 (INTP),30-39,Male,ItoI_name.txt,あり,あり,3,2,1,0,2,1,2,0,1,2,0,1,3,1,4,1,2,0,1
57,IHRNO,独立型思想家 (INTP),60-69,Female,ItoI_name.txt,あり,あり,2,1,1,0,1,1,1,0,1,2,0,1,1,0,1,0,1,0,0
58,IHRNO,独立型思想家 (INTP),20-29,Male,ItoE_name.txt,なし,あり,2,1,0,0,1,1,2,0,0,1,0,0,2,0,2,0,1,0,0
59,EHCNO,戦略的開拓者 (ENTJ),50-59,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,2,4,0,1,3,0,1,2,1,2,1,2,0,1
60,EHCNO,戦略的開拓者 (ENTJ),20-29,Male,ItoI_name.txt,あり,あり,2,2,0,0,0,1,3,0,0,3,0,0,1,0,2,0,1,0,1
61,EHCNO,戦略的開拓者 (ENTJ),20-29,Male,ItoI_name.txt,あり,あり,3,2,1,0,1,2,2,0,1,2,0,1,2,1,2,1,2,0,1
62,IARTS,控えめな実践者 (ISFP),70-79,Female,ItoE_noname.txt,なし,なし,4,3,1,1,4,2,3,1,1,2,1,1,4,2,4,2,2,1,3
63,IARTS,控えめな実践者 (ISFP),30-39,Male,ItoE_noname.txt,なし,なし,5,4,1,1,3,2,4,1,2,5,1,1,4,2,5,2,3,1,4
64,IARTS,控えめな実践者 (ISFP),70-79,Female,ItoE_noname.txt,なし,なし,4,2,0,0,3,2,3,0,1,4,0,1,4,1,3,2,2,0,2
65,EHRTO,自由奔放な冒険家 (ENTP),50-59,Male,ItoI_name.txt,あり,あり,4,2,1,0,2,1,3,0,1,3,0,1,3,1,3,1,2,0,2
66,EHRTO,自由奔放な冒険家 (ENTP),30-39,Male,ItoI_name.txt,あり,あり,2,1,0,0,1,1,3,0,2,3,0,0,1,0,1,0,1,0,1
67,EHRTO,自由奔放な冒険家 (ENTP),80-89,Female,ItoI_noname.txt,あり,なし,3,2,1,0,2,1,3,0,4,5,0,0,2,1,2,1,2,0,1
68,EARTS,行動派エンターテイナー (ESFP),50-59,Male,ItoE_name.txt,なし,あり,4,3,1,0,2,2,6,0,2,4,0,1,3,1,3,1,4,0,2
69,EARTS,行動派エンターテイナー (ESFP),70-79,Female,ItoE_noname.txt,なし,なし,6,5,2,0,5,4,5,2,4,6,0,2,6,1,4,3,5,0,4
70,EARTS,行動派エンターテイナー (ESFP),20-29,Female,ItoI_noname.txt,あり,なし,4,3,1,0,3,2,3,1,2,5,0,1,4,0,4,1,2,0,1
71,IHCNO,孤高の戦略家 (INTJ),70-79,Female,ItoE_noname.txt,なし,なし,3,2,0,0,0,1,2,0,0,3,0,0,1,0,2,0,1,0,1
72,IHCNO,孤高の戦略家 (INTJ),20-29,Male,ItoE_name.txt,なし,あり,2,1,0,0,0,1,4,0,0,2,0,0,1,0,2,0,1,0,1
73,IHCNO,孤高の戦略家 (INTJ),70-79,Female,ItoI_name.txt,あり,あり,2,2,0,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0
74,EACTO,共感クリエイター (ENFP),50-59,Male,ItoE_noname.txt,なし,なし,6,5,2,1,6,3,7,2,4,5,1,2,7,2,6,4,5,1,5
75,EACTO,共感クリエイター (ENFP),80-89,Female,ItoI_name.txt,あり,あり,5,4,2,1,7,4,6,2,3,5,1,2,8,2,7,4,5,1,5
76,IACNS,誠実な職人 (ISFJ),70-79,Female,ItoI_name.txt,あり,あり,3,2,1,0,2,1,2,0,0,3,0,1,4,1,3,1,2,0,1
77,IACNS,誠実な職人 (ISFJ),30-39,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,1,5,0,1,2,0,1,4,1,3,1,2,0,2
78,IARTO,内なる夢想家 (INFP),30-39,Male,ItoI_name.txt,あり,あり,4,3,2,1,4,3,3,2,2,3,1,2,4,2,4,2,3,1,2
79,IARTO,内なる夢想家 (INFP),30-39,Male,ItoI_noname.txt,あり,なし,3,2,1,0,2,1,2,0,1,3,0,0,3,1,2,0,1,0,2
80,EHRNO,独立型ビジョナリー (ENTP),60-69,Female,ItoE_name.txt,なし,あり,6,4,2,1,2,2,4,1,2,3,1,1,3,1,3,1,4,1,3
81,EHRNO,独立型ビジョナリー (ENTP),60-69,Female,ItoE_noname.txt,なし,なし,4,3,1,0,2,2,4,1,3,4,0,1,2,1,3,1,3,0,2
82,EARNO,自由な外交官 (ENFP),70-79,Female,ItoI_name.txt,あり,あり,3,2,1,0,2,1,2,0,1,5,0,1,4,1,2,1,2,0,2
83,EARNO,自由な外交官 (ENFP),80-89,Female,ItoI_name.txt,あり,あり,5,4,1,0,2,2,3,0,1,3,0,1,6,1,4,1,4,0,4
84,EHCNS,冷静な実務家 (ESTJ),60-69,Female,ItoE_name.txt,なし,あり,4,3,1,0,2,2,4,0,1,3,0,1,2,1,3,1,2,0,2
85,EHCNS,冷静な実務家 (ESTJ),40-49,Male,ItoE_noname.txt,なし,なし,3,2,1,0,1,1,2,0,0,2,0,1,2,1,2,0,1,0,0
86,IHCTS,実直な専門家 (ISTJ),30-39,Male,ItoI_name.txt,あり,あり,3,2,0,0,1,1,2,0,0,2,0,0,1,0,3,0,1,0,1
87,EACTS,実行型サポーター (ESFJ),60-69,Female,ItoE_noname.txt,なし,なし,8,7,1,1,4,4,5,1,2,6,1,1,7,2,5,2,5,1,7
88,IHCNS,寡黙な実行者 (ISTJ),40-49,Male,ItoE_noname.txt,なし,なし,2,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1
89,IARNO,温かい知識人 (INFP),80-89,Female,ItoE_noname.txt,なし,なし,6,5,2,1,6,3,5,2,3,4,1,1,7,2,5,4,4,1,4
90,EHRNS,現実主義の開拓者 (ESTP),60-69,Female,ItoI_name.txt,あり,あり,2,1,1,0,1,1,2,0,1,2,0,1,2,0,2,1,1,0,1
91,IHCTO,独創的な探究者 (INTJ),70-79,Female,ItoI_noname.txt,あり,なし,2,1,0,0,1,1,1,0,0,2,0,0,2,0,3,0,1,0,1
92,EARNS,穏やかな仲介者 (ESFP),20-29,Male,ItoI_name.txt,あり,あり,3,2,1,0,4,3,3,1,2,4,0,1,5,1,4,2,3,0,2
93,IACTO,繊細なアーティスト (INFJ),20-29,Female,ItoI_noname.txt,あり,なし,4,3,1,0,3,2,4,1,2,5,0,1,4,1,3,1,3,0,2
94,EHCTO,直感型イノベーター (ENTP),50-59,Male,ItoI_name.txt,あり,あり,3,2,1,0,1,2,2,0,1,3,0,1,2,1,2,0,2,0,1
95,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoI_noname.txt,あり,なし,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1
96,IHRTS,慎重な現実主義者 (ISTP),20-29,Male,ItoE_name.txt,なし,あり,4,2,1,0,2,3,4,0,1,2,0,1,2,1,3,1,2,0,1
97,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoI_name.txt,あり,あり,2,2,1,0,1,2,1,0,1,1,0,1,1,1,2,0,2,0,1
98,IHRTS,慎重な現実主義者 (ISTP),60-69,Female,ItoI_noname.txt,あり,なし,3,2,1,0,2,2,2,0,1,3,0,1,2,1,3,1,2,0,1
99,IHRTS,慎重な現実主義者 (ISTP),50-59,Male,ItoE_noname.txt,なし,なし,3,2,1,0,1,2,2,0,1,2,0,1,1,1,3,0,2,0,1
99,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoI_name.txt,あり,あり,2,1,1,0,1,1,2,0,1,2,0,1,2,1,2,0,1,0,1
