Trial,PersonaType,PersonaDesc,Age,Gender,DialogueFile,PersonaSwitch,HasName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
85,EHCNS,冷静な実務家 (ESTJ),80-89,Female,ItoI_name.txt,あり,あり,3,2,1,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1
86,IHCTS,実直な専門家 (ISTJ),50-59,Male,ItoE_noname.txt,なし,なし,4,2,0,0,1,1,3,0,0,2,0,0,1,0,1,0,1,0,0
87,EACTS,実行型サポーター (ESFJ),20-29,Male,ItoI_noname.txt,あり,なし,4,3,1,0,2,2,2,1,1,2,0,1,3,1,3,1,2,0,2
88,IHCNS,寡黙な実行者 (ISTJ),40-49,Male,ItoI_noname.txt,あり,なし,3,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1
89,IARNO,温かい知識人 (INFP),70-79,Female,ItoE_name.txt,なし,あり,4,3,2,1,4,3,5,2,2,3,1,1,5,2,4,2,3,1,2
90,EHRNS,現実主義の開拓者 (ESTP),60-69,Female,ItoI_noname.txt,あり,なし,2,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,0,0
91,IHCTO,独創的な探究者 (INTJ),30-39,Male,ItoI_noname.txt,あり,なし,3,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0
92,EARNS,穏やかな仲介者 (ESFP),70-79,Female,ItoE_name.txt,なし,あり,8,7,2,1,6,5,8,2,4,5,1,2,8,2,7,3,6,1,6
93,IACTO,繊細なアーティスト (INFJ),20-29,Male,ItoE_noname.txt,なし,なし,4,3,1,0,3,2,4,1,1,2,0,1,3,2,4,1,2,0,2
94,EHCTO,直感型イノベーター (ENTP),30-39,Male,ItoE_noname.txt,なし,なし,7,4,1,0,2,4,4,1,2,4,0,1,3,1,4,1,4,0,2
95,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoI_noname.txt,あり,なし,2,2,1,0,1,1,1,0,0,2,0,1,1,0,2,0,1,0,0
96,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,1,4,0,1,3,0,1,2,1,3,0,2,0,1
97,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoE_noname.txt,なし,なし,3,2,0,0,0,1,2,0,0,1,0,0,1,0,1,0,1,0,1
98,IHRTS,慎重な現実主義者 (ISTP),50-59,Female,ItoE_noname.txt,なし,なし,3,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1
99,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoI_name.txt,あり,あり,2,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0
