Trial,PersonaType,PersonaDesc,Age,Gender,DialogueFile,PersonaSwitch,HasName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
22,EACNO,万能リーダー (ENFJ),20-29,Male,ItoI_name.txt,あり,あり,4,2,1,1,3,3,4,1,1,2,0,1,5,1,5,1,3,0,3
23,EACNO,万能リーダー (ENFJ),40-49,Male,ItoI_noname.txt,あり,なし,2,2,1,0,2,1,2,1,1,4,0,1,3,1,3,1,2,0,1
24,EACNO,万能リーダー (ENFJ),50-59,Male,ItoE_name.txt,なし,あり,4,3,2,1,4,3,6,2,3,4,1,2,5,2,6,2,3,1,3
25,EACNO,万能リーダー (ENFJ),70-79,Female,ItoI_noname.txt,あり,なし,4,2,1,0,3,2,2,1,1,3,0,0,4,1,3,1,2,0,1
26,EACNO,万能リーダー (ENFJ),50-59,Male,ItoI_noname.txt,あり,なし,4,3,1,0,2,2,3,1,1,2,0,1,4,1,2,1,2,0,1
27,EACNO,万能リーダー (ENFJ),70-79,Female,ItoE_name.txt,なし,あり,5,3,1,0,4,2,5,0,2,4,0,2,4,1,3,2,5,0,2
28,EACNO,万能リーダー (ENFJ),40-49,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,2,5,1,1,3,0,1,3,1,4,1,4,0,2
29,IHRTO,孤独な芸術家 (INTP),60-69,Female,ItoI_name.txt,あり,あり,3,2,1,0,2,2,2,0,1,3,0,1,2,1,3,1,2,0,1
30,IHRTO,孤独な芸術家 (INTP),60-69,Female,ItoE_name.txt,なし,あり,3,2,1,0,2,1,4,0,1,3,0,1,2,1,2,1,2,0,1
31,IHRTO,孤独な芸術家 (INTP),50-59,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,2,3,0,1,2,0,1,3,0,3,0,2,0,1
32,IHRTO,孤独な芸術家 (INTP),20-29,Male,ItoI_noname.txt,あり,なし,2,1,1,0,1,2,2,0,1,3,0,1,2,1,3,0,2,0,1
33,IHRTO,孤独な芸術家 (INTP),70-79,Female,ItoE_name.txt,なし,あり,2,1,1,0,1,1,2,0,1,2,0,0,1,1,2,1,2,0,0
34,IHRTO,孤独な芸術家 (INTP),30-39,Male,ItoI_noname.txt,あり,なし,2,1,0,0,1,1,3,0,1,2,0,1,2,0,2,0,1,0,1
35,IHRTO,孤独な芸術家 (INTP),50-59,Male,ItoI_noname.txt,あり,なし,3,2,1,0,1,1,2,0,1,2,0,1,2,0,3,1,2,0,1
36,EACNS,堅実な調整役 (ESFJ),30-39,Male,ItoE_name.txt,なし,あり,4,2,2,0,3,2,5,1,1,4,0,1,3,1,4,1,3,0,2
37,EACNS,堅実な調整役 (ESFJ),60-69,Female,ItoI_name.txt,あり,あり,4,3,2,1,3,2,3,1,2,3,1,2,4,1,3,1,2,1,2
38,EACNS,堅実な調整役 (ESFJ),40-49,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,1,4,1,1,2,0,1,2,1,3,1,2,0,2
39,EACNS,堅実な調整役 (ESFJ),50-59,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,2,2,0,1,2,0,1,3,1,3,1,2,0,1
40,EACNS,堅実な調整役 (ESFJ),70-79,Female,ItoI_name.txt,あり,あり,4,3,1,0,3,2,4,1,1,5,0,2,5,1,5,1,3,0,2
41,EACNS,堅実な調整役 (ESFJ),80-89,Female,ItoE_noname.txt,なし,なし,3,2,1,0,4,2,3,1,1,4,0,1,4,1,4,1,3,0,2
42,IHRNS,寡黙な観察者 (ISTP),70-79,Female,ItoI_name.txt,あり,あり,3,2,1,0,2,1,2,0,1,2,0,1,2,1,3,1,2,0,1
43,IHRNS,寡黙な観察者 (ISTP),80-89,Female,ItoE_name.txt,なし,あり,2,2,1,1,2,2,3,1,1,3,0,1,2,1,3,1,2,1,1
44,IHRNS,寡黙な観察者 (ISTP),40-49,Male,ItoE_noname.txt,なし,なし,3,1,1,0,1,1,2,0,0,2,0,1,2,1,2,0,1,0,0
45,IHRNS,寡黙な観察者 (ISTP),30-39,Male,ItoI_noname.txt,あり,なし,2,1,1,0,1,1,2,0,0,1,0,1,1,1,2,0,1,0,0
46,IHRNS,寡黙な観察者 (ISTP),30-39,Male,ItoE_name.txt,なし,あり,2,1,1,0,1,1,3,0,1,2,0,0,1,0,1,0,1,0,0
47,EHRTS,豪快な実践者 (ESTP),30-39,Male,ItoE_name.txt,なし,あり,1,1,0,0,1,1,3,0,0,2,0,0,1,0,1,0,1,0,0
48,EHRTS,豪快な実践者 (ESTP),40-49,Male,ItoI_noname.txt,あり,なし,2,1,1,0,1,1,2,0,1,2,0,1,1,1,3,0,1,0,1
49,EHRTS,豪快な実践者 (ESTP),50-59,Male,ItoI_noname.txt,あり,なし,2,1,0,0,1,1,2,0,0,1,0,0,2,0,2,0,1,0,1
50,EHRTS,豪快な実践者 (ESTP),20-29,Male,ItoI_name.txt,あり,あり,2,1,1,0,2,1,2,0,1,2,0,1,2,1,3,0,1,0,1
51,IACNO,思慮深い賢者 (INFJ),60-69,Female,ItoE_name.txt,なし,あり,3,2,1,1,2,1,3,1,1,2,1,1,4,1,3,2,2,1,2
52,IACNO,思慮深い賢者 (INFJ),80-89,Female,ItoI_name.txt,あり,あり,4,3,1,0,3,1,4,0,1,3,0,1,3,1,3,1,2,0,2
53,IACNO,思慮深い賢者 (INFJ),70-79,Female,ItoI_noname.txt,あり,なし,4,2,1,0,3,2,2,1,1,3,0,1,3,1,4,1,2,0,2
54,IACNO,思慮深い賢者 (INFJ),80-89,Female,ItoE_name.txt,なし,あり,5,2,2,1,4,1,6,0,1,3,1,1,5,1,4,1,2,0,1
55,IHRNO,独立型思想家 (INTP),70-79,Female,ItoI_noname.txt,あり,なし,3,1,1,0,1,1,2,0,0,2,0,1,2,0,2,0,1,0,1
56,IHRNO,独立型思想家 (INTP),20-29,Male,ItoI_name.txt,あり,あり,2,1,1,0,1,1,3,0,1,4,0,1,1,0,1,0,1,0,0
57,IHRNO,独立型思想家 (INTP),30-39,Male,ItoI_noname.txt,あり,なし,2,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,0
58,IHRNO,独立型思想家 (INTP),20-29,Male,ItoI_noname.txt,あり,なし,2,1,1,0,1,1,2,0,1,2,0,1,2,0,2,0,1,0,0
59,EHCNO,戦略的開拓者 (ENTJ),80-89,Female,ItoI_name.txt,あり,あり,2,1,0,0,1,1,2,0,0,2,0,0,1,0,2,0,1,0,0
60,EHCNO,戦略的開拓者 (ENTJ),70-79,Female,ItoI_noname.txt,あり,なし,3,2,1,0,1,1,2,0,0,3,0,0,1,0,2,0,1,0,1
61,EHCNO,戦略的開拓者 (ENTJ),20-29,Male,ItoI_noname.txt,あり,なし,2,1,0,0,0,0,1,0,0,2,0,0,1,0,2,0,1,0,1
62,IARTS,控えめな実践者 (ISFP),60-69,Female,ItoE_name.txt,なし,あり,4,2,1,0,2,2,5,1,1,3,0,1,3,1,3,1,2,0,1
63,IARTS,控えめな実践者 (ISFP),80-89,Female,ItoI_name.txt,あり,あり,3,2,1,0,3,2,2,0,1,2,0,1,3,1,2,1,1,0,2
64,IARTS,控えめな実践者 (ISFP),20-29,Male,ItoE_noname.txt,なし,なし,3,2,1,0,3,2,2,1,1,2,0,1,3,1,3,1,2,0,2
65,EHRTO,自由奔放な冒険家 (ENTP),30-39,Male,ItoE_noname.txt,なし,なし,2,2,1,0,2,1,4,1,4,7,0,1,2,0,2,1,2,0,2
66,EHRTO,自由奔放な冒険家 (ENTP),20-29,Female,ItoI_name.txt,あり,あり,3,2,4,0,3,1,4,1,2,5,0,1,4,0,2,1,2,0,2
67,EHRTO,自由奔放な冒険家 (ENTP),50-59,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,2,4,1,3,5,0,1,2,1,3,1,2,0,1
68,EARTS,行動派エンターテイナー (ESFP),20-29,Male,ItoE_name.txt,なし,あり,4,3,1,0,3,1,4,1,2,2,0,1,2,1,3,1,2,0,2
69,EARTS,行動派エンターテイナー (ESFP),70-79,Female,ItoE_name.txt,なし,あり,4,3,1,0,2,1,5,0,2,3,0,1,4,1,5,1,2,0,2
70,EARTS,行動派エンターテイナー (ESFP),30-39,Male,ItoI_noname.txt,あり,なし,3,2,1,0,2,1,3,1,2,5,0,1,2,1,3,1,2,0,1
71,IHCNO,孤高の戦略家 (INTJ),60-69,Female,ItoI_name.txt,あり,あり,3,2,1,0,1,1,2,0,1,2,0,1,2,0,2,0,2,0,1
72,IHCNO,孤高の戦略家 (INTJ),60-69,Female,ItoE_name.txt,なし,あり,3,2,1,0,1,1,2,0,0,2,0,1,1,0,2,0,1,0,1
73,IHCNO,孤高の戦略家 (INTJ),40-49,Male,ItoI_name.txt,あり,あり,2,1,0,0,1,2,2,0,0,1,0,0,2,0,2,0,1,0,1
74,EACTO,共感クリエイター (ENFP),30-39,Male,ItoE_name.txt,なし,あり,4,3,1,0,2,1,6,1,2,4,0,1,4,1,4,1,3,0,2
75,EACTO,共感クリエイター (ENFP),80-89,Female,ItoI_noname.txt,あり,なし,7,4,2,1,5,3,4,1,2,5,1,2,5,2,6,2,4,1,3
76,IACNS,誠実な職人 (ISFJ),20-29,Male,ItoE_name.txt,なし,あり,3,2,1,0,2,1,4,1,1,2,0,1,2,1,3,1,2,0,1
77,IACNS,誠実な職人 (ISFJ),80-89,Female,ItoI_name.txt,あり,あり,4,2,1,0,2,2,3,1,1,3,0,1,2,1,2,1,2,0,1
78,IARTO,内なる夢想家 (INFP),50-59,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,1,2,1,1,3,0,1,2,1,2,1,2,0,2
79,IARTO,内なる夢想家 (INFP),50-59,Male,ItoE_name.txt,なし,あり,4,3,1,1,3,2,5,1,2,3,1,1,3,1,3,1,2,1,2
80,EHRNO,独立型ビジョナリー (ENTP),80-89,Female,ItoE_name.txt,なし,あり,4,3,1,0,2,2,3,0,1,4,0,1,2,1,4,0,2,0,1
81,EHRNO,独立型ビジョナリー (ENTP),30-39,Male,ItoE_noname.txt,なし,なし,3,2,1,0,1,2,2,0,2,4,0,0,2,0,2,1,2,0,1
82,EARNO,自由な外交官 (ENFP),80-89,Female,ItoE_name.txt,なし,あり,4,3,1,1,4,2,5,1,2,4,1,2,5,1,4,2,2,1,3
83,EARNO,自由な外交官 (ENFP),20-29,Male,ItoE_noname.txt,なし,なし,4,3,1,0,3,4,4,1,3,5,0,1,4,1,5,2,4,0,2
84,EHCNS,冷静な実務家 (ESTJ),20-29,Male,ItoE_name.txt,なし,あり,3,2,1,0,1,1,4,0,1,2,0,0,1,0,3,1,2,0,1
85,EHCNS,冷静な実務家 (ESTJ),60-69,Female,ItoE_name.txt,なし,あり,3,2,1,0,1,1,3,0,0,2,0,1,2,1,3,0,2,0,1
86,IHCTS,実直な専門家 (ISTJ),50-59,Female,ItoE_noname.txt,なし,なし,2,1,1,0,1,1,1,0,0,1,0,1,1,0,2,0,1,0,0
87,EACTS,実行型サポーター (ESFJ),50-59,Male,ItoI_noname.txt,あり,なし,4,3,1,0,2,1,2,0,0,2,0,0,3,1,4,0,1,0,1
88,IHCNS,寡黙な実行者 (ISTJ),60-69,Female,ItoI_name.txt,あり,あり,3,2,1,0,1,1,2,0,0,1,0,1,1,1,2,0,1,0,1
89,IARNO,温かい知識人 (INFP),20-29,Male,ItoI_name.txt,あり,あり,3,2,1,0,3,2,4,1,2,4,0,1,4,1,3,1,3,0,2
90,EHRNS,現実主義の開拓者 (ESTP),70-79,Female,ItoI_name.txt,あり,あり,3,2,0,0,1,1,2,0,0,1,0,1,1,0,2,0,1,0,1
91,IHCTO,独創的な探究者 (INTJ),30-39,Male,ItoE_noname.txt,なし,なし,2,2,0,0,0,0,2,0,0,3,0,0,0,0,2,0,1,0,1
92,EARNS,穏やかな仲介者 (ESFP),50-59,Female,ItoI_name.txt,あり,あり,4,2,1,0,3,1,2,1,1,3,0,1,4,1,2,1,1,0,1
93,IACTO,繊細なアーティスト (INFJ),40-49,Male,ItoI_noname.txt,あり,なし,2,2,1,0,2,2,2,1,1,2,0,1,2,1,2,1,2,1,1
94,EHCTO,直感型イノベーター (ENTP),30-39,Male,ItoI_name.txt,あり,あり,3,2,0,0,1,1,2,0,1,3,0,1,1,0,2,0,1,0,1
95,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoI_name.txt,あり,あり,3,2,1,0,2,2,2,0,1,2,0,0,2,1,3,0,2,0,0
96,IHRTS,慎重な現実主義者 (ISTP),50-59,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,2,3,1,1,3,0,1,2,1,2,1,2,0,1
97,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoI_name.txt,あり,あり,3,2,1,0,2,2,2,1,1,2,0,1,2,1,2,1,1,0,1
98,IHRTS,慎重な現実主義者 (ISTP),20-29,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,2,2,1,1,3,0,1,1,1,2,1,2,0,1
99,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoI_name.txt,あり,あり,3,2,1,0,2,2,3,0,1,4,0,1,3,1,4,1,2,0,1
